Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAampSecondsHB, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
7.7,   9,   3969,   4200,   4012,   3976,   3207,   36,   36,   28,   7021,   1111,   326,   10570,   0,   293
7.8,   10,   3962,   4200,   4012,   3976,   3207,   36,   36,   27,   7033,   1111,   326,   10571,   0,   293
7.9,   11,   3968,   4200,   4012,   3976,   3208,   37,   36,   27,   7024,   1111,   326,   10572,   0,   293
8,   12,   3996,   4200,   4012,   3976,   3208,   37,   36,   27,   7010,   1111,   326,   10572,   0,   293
8.1,   13,   3986,   4200,   4012,   3976,   3208,   36,   36,   27,   7011,   1111,   326,   10573,   0,   293
8.2,   14,   3988,   4200,   4012,   3976,   3208,   35,   36,   27,   7014,   1111,   326,   10574,   0,   293
8.3,   14,   3988,   4200,   4012,   3976,   3208,   35,   36,   27,   7019,   1111,   326,   10575,   0,   293
8.4,   15,   3979,   4200,   4012,   3976,   3208,   37,   36,   27,   7002,   1111,   327,   10575,   0,   293
8.5,   16,   3990,   4200,   4012,   3976,   3208,   37,   36,   27,   7019,   1111,   327,   10576,   0,   293
8.6,   17,   3983,   4200,   4012,   3976,   3208,   37,   36,   27,   7000,   1111,   327,   10577,   0,   293
8.7,   18,   3970,   4200,   4012,   3976,   3208,   36,   36,   27,   6995,   1111,   327,   10577,   0,   293
8.8,   19,   3971,   4200,   4012,   3976,   3208,   36,   36,   27,   7006,   1111,   327,   10578,   0,   293
8.9,   19,   3971,   4200,   4012,   3976,   3208,   36,   36,   27,   7008,   1111,   327,   10579,   0,   293
9,   20,   3967,   4200,   4012,   3976,   3208,   36,   36,   27,   7018,   1111,   327,   10580,   0,   293
9.1,   21,   3970,   4200,   4012,   3976,   3208,   36,   36,   27,   6989,   1111,   327,   10580,   0,   293
9.2,   22,   3970,   4200,   4012,   3976,   3208,   35,   36,   27,   7016,   1111,   327,   10581,   0,   293
9.3,   23,   3966,   4200,   4012,   3976,   3208,   36,   36,   27,   7014,   1111,   327,   10582,   0,   293
9.4,   24,   3965,   4200,   4012,   3976,   3208,   36,   36,   28,   7021,   1111,   327,   10582,   0,   293
9.5,   24,   3965,   4200,   4012,   3976,   3208,   35,   36,   27,   6996,   1111,   327,   10583,   0,   293
9.6,   25,   3966,   4200,   4012,   3976,   3208,   35,   36,   27,   7007,   1111,   327,   10584,   0,   293
9.7,   26,   3971,   4200,   4012,   3976,   3208,   36,   36,   27,   7003,   1111,   327,   10584,   0,   293
9.8,   27,   3958,   4200,   4012,   3976,   3208,   36,   36,   27,   7021,   1111,   327,   10585,   0,   293
9.9,   0,   3966,   4200,   4012,   3976,   3207,   35,   36,   27,   7009,   1111,   327,   10586,   0,   293
10,   1,   3975,   4200,   4012,   3976,   3207,   36,   36,   28,   6997,   1111,   327,   10586,   0,   293
10.1,   2,   3982,   4200,   4012,   3976,   3207,   36,   36,   28,   7016,   1111,   327,   10587,   0,   293
10.2,   2,   3982,   4200,   4012,   3976,   3207,   36,   36,   28,   7011,   1111,   327,   10588,   0,   293
10.3,   3,   3975,   4200,   4012,   3976,   3207,   36,   36,   27,   7001,   1111,   327,   10588,   0,   293
10.4,   4,   3979,   4200,   4012,   3976,   3207,   36,   36,   27,   7028,   1111,   327,   10589,   0,   293
10.5,   5,   3977,   4200,   4012,   3976,   3207,   36,   36,   27,   7014,   1111,   327,   10590,   0,   293
10.6,   6,   3967,   4200,   4012,   3976,   3207,   36,   36,   27,   7013,   1111,   327,   10591,   0,   293
10.7,   7,   3958,   4200,   4012,   3976,   3207,   36,   36,   27,   7010,   1111,   327,   10591,   0,   293
10.8,   7,   3958,   4200,   4012,   3976,   3207,   36,   36,   27,   6988,   1111,   327,   10592,   0,   293
10.9,   8,   3959,   4200,   4012,   3976,   3208,   36,   36,   27,   7034,   1111,   327,   10593,   0,   294
11,   9,   3966,   4200,   4012,   3976,   3208,   37,   36,   27,   7006,   1111,   327,   10593,   0,   294
11.1,   10,   3959,   4200,   4012,   3976,   3208,   37,   36,   28,   6968,   1111,   327,   10594,   0,   294
11.2,   11,   3967,   4200,   4012,   3976,   3208,   36,   36,   27,   6977,   1111,   327,   10595,   0,   294
11.3,   12,   3994,   4200,   4012,   3976,   3208,   36,   36,   27,   6995,   1111,   327,   10596,   0,   294
11.4,   12,   3994,   4200,   4012,   3976,   3208,   36,   36,   27,   6966,   1111,   327,   10596,   0,   294
