Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
9.9,   9,   4075,   4200,   4099,   4089,   3109,   21,   10,   28,   6763,   1141,   108,   96
10,   10,   4083,   4200,   4099,   4089,   3109,   20,   10,   28,   6761,   1141,   109,   96
10.1,   10,   4083,   4200,   4099,   4089,   3109,   20,   10,   28,   6764,   1141,   109,   96
10.2,   11,   4079,   4200,   4099,   4089,   3109,   20,   10,   27,   6755,   1141,   109,   96
10.3,   12,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6758,   1141,   109,   96
10.4,   13,   4081,   4200,   4099,   4089,   3109,   21,   10,   28,   6748,   1141,   109,   96
10.5,   14,   4083,   4200,   4099,   4089,   3109,   20,   10,   28,   6754,   1141,   109,   96
10.6,   15,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6747,   1141,   109,   96
10.7,   15,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6767,   1141,   109,   96
10.8,   16,   4084,   4200,   4099,   4089,   3109,   20,   10,   28,   6745,   1141,   109,   96
10.9,   17,   4085,   4200,   4099,   4089,   3109,   20,   10,   27,   6767,   1141,   109,   96
11,   18,   4079,   4200,   4099,   4089,   3109,   20,   10,   28,   6752,   1141,   109,   96
11.1,   19,   4084,   4200,   4099,   4089,   3109,   20,   10,   28,   6771,   1141,   109,   96
11.2,   19,   4084,   4200,   4099,   4089,   3109,   20,   10,   28,   6735,   1141,   109,   96
11.3,   20,   4082,   4200,   4099,   4089,   3109,   20,   10,   27,   6738,   1141,   109,   96
11.4,   21,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6742,   1141,   109,   96
11.5,   22,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6756,   1141,   109,   96
11.6,   23,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6737,   1141,   109,   96
11.7,   23,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6752,   1141,   109,   96
11.8,   24,   4064,   4200,   4099,   4089,   3109,   21,   10,   28,   6742,   1141,   109,   96
11.9,   25,   4084,   4200,   4099,   4089,   3109,   21,   10,   27,   6780,   1141,   109,   96
12,   26,   4078,   4200,   4099,   4089,   3109,   21,   10,   28,   6759,   1141,   109,   96
12.1,   27,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6756,   1141,   109,   96
12.2,   27,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6740,   1141,   109,   96
12.3,   0,   4078,   4200,   4099,   4089,   3109,   21,   10,   27,   6776,   1141,   109,   96
12.4,   1,   4074,   4200,   4099,   4089,   3109,   20,   10,   27,   6755,   1141,   109,   96
12.5,   2,   4080,   4200,   4099,   4089,   3109,   20,   10,   27,   6738,   1141,   109,   96
12.6,   2,   4080,   4200,   4099,   4089,   3109,   20,   10,   27,   6745,   1141,   109,   96
12.7,   3,   4082,   4200,   4099,   4089,   3109,   20,   10,   27,   6759,   1141,   109,   96
12.8,   4,   4077,   4200,   4099,   4089,   3109,   20,   10,   27,   6762,   1141,   109,   96
12.9,   5,   4079,   4200,   4099,   4089,   3109,   20,   10,   27,   6729,   1141,   109,   97
13,   6,   4072,   4200,   4099,   4089,   3109,   20,   10,   27,   6750,   1141,   109,   97
13.1,   7,   4073,   4200,   4099,   4089,   3109,   20,   10,   27,   6757,   1139,   109,   97
13.2,   7,   4073,   4200,   4099,   4089,   3109,   20,   10,   27,   6751,   1139,   109,   97
13.3,   8,   4077,   4200,   4099,   4089,   3109,   20,   10,   27,   6774,   1139,   109,   97
13.4,   9,   4072,   4200,   4099,   4089,   3109,   21,   10,   28,   6728,   1139,   109,   97
13.5,   10,   4080,   4200,   4099,   4089,   3109,   21,   10,   27,   6760,   1139,   109,   97
13.6,   11,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6779,   1139,   109,   97
13.7,   11,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6740,   1139,   109,   97
13.8,   12,   4077,   4200,   4099,   4089,   3109,   20,   10,   28,   6744,   1139,   109,   97
13.9,   13,   4078,   4200,   4099,   4089,   3109,   21,   10,   28,   6741,   1139,   109,   97
14,   14,   4080,   4200,   4099,   4089,   3109,   20,   10,   28,   6720,   1139,   109,   97
14.1,   15,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6688,   1139,   109,   97
14.2,   16,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6718,   1139,   109,   97
14.3,   16,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6715,   1139,   109,   97
14.4,   17,   4083,   4200,   4099,   4089,   3109,   21,   10,   28,   6703,   1139,   109,   97
14.5,   18,   4077,   4200,   4099,   4089,   3109,   21,   10,   28,   6707,   1139,   109,   97
14.6,   19,   4082,   4200,   4099,   4089,   3109,   21,   10,   28,   6712,   1139,   109,   97
14.7,   20,   4080,   4200,   4099,   4089,   3109,   20,   10,   28,   6721,   1139,   109,   97
14.8,   21,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   6725,   1139,   109,   97
14.9,   21,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   6693,   1139,   109,   97
15,   22,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6727,   1139,   109,   97
15.1,   23,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6700,   1139,   110,   97
15.2,   24,   4062,   4200,   4099,   4089,   3109,   21,   10,   28,   6728,   1139,   110,   97
15.3,   25,   4082,   4200,   4099,   4089,   3109,   20,   10,   28,   6708,   1139,   110,   97
15.4,   26,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6721,   1139,   110,   97
15.5,   26,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6703,   1139,   110,   97
15.6,   27,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6720,   1139,   110,   97
15.7,   0,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6675,   1139,   110,   97
15.8,   1,   4072,   4200,   4099,   4089,   3109,   20,   10,   28,   6711,   1139,   110,   97
15.9,   2,   4077,   4200,   4099,   4089,   3109,   20,   10,   27,   6712,   1139,   110,   97
16,   3,   4080,   4200,   4099,   4089,   3109,   20,   10,   28,   6707,   1139,   110,   97
16.1,   3,   4080,   4200,   4099,   4089,   3109,   20,   10,   28,   6722,   1139,   110,   97
16.2,   4,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6713,   1139,   110,   97
16.3,   5,   4077,   4200,   4099,   4089,   3109,   21,   10,   28,   6736,   1139,   110,   97
16.4,   6,   4070,   4200,   4099,   4089,   3109,   21,   10,   28,   6718,   1139,   110,   97
16.5,   7,   4072,   4200,   4099,   4089,   3109,   21,   10,   28,   6712,   1139,   110,   97
16.6,   8,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6742,   1139,   110,   97
16.7,   8,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6696,   1139,   110,   97
16.8,   9,   4070,   4200,   4099,   4089,   3109,   21,   10,   28,   6714,   1139,   110,   97
16.9,   10,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6731,   1139,   110,   97
17,   11,   4074,   4200,   4099,   4089,   3109,   20,   10,   28,   6707,   1139,   110,   97
17.1,   12,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6729,   1139,   110,   97
17.2,   13,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6728,   1139,   110,   97
17.3,   13,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6718,   1139,   110,   97
17.4,   14,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6710,   1139,   110,   97
17.5,   15,   4077,   4200,   4099,   4089,   3109,   20,   10,   28,   6713,   1139,   110,   97
17.6,   16,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6740,   1139,   110,   97
17.7,   17,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6734,   1139,   110,   97
17.8,   18,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6716,   1139,   110,   97
17.9,   18,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6716,   1139,   110,   98
18,   19,   4079,   4200,   4099,   4089,   3109,   20,   10,   28,   6718,   1139,   110,   98
18.1,   20,   4078,   4200,   4099,   4089,   3109,   21,   10,   28,   6720,   1139,   110,   98
18.2,   21,   4072,   4200,   4099,   4089,   3109,   21,   10,   28,   6748,   1139,   110,   98
18.3,   22,   4078,   4200,   4099,   4089,   3109,   21,   10,   27,   6697,   1139,   110,   98
18.4,   23,   4075,   4200,   4099,   4089,   3109,   20,   10,   27,   6741,   1139,   110,   98
18.5,   23,   4075,   4200,   4099,   4089,   3109,   20,   10,   27,   6738,   1139,   110,   98
18.6,   24,   4060,   4200,   4099,   4089,   3109,   21,   10,   27,   6704,   1139,   110,   98
18.7,   25,   4080,   4200,   4099,   4089,   3109,   21,   10,   27,   6713,   1139,   110,   98
18.8,   26,   4073,   4200,   4099,   4089,   3109,   21,   10,   27,   6750,   1139,   110,   98
18.9,   27,   4076,   4200,   4099,   4089,   3109,   21,   10,   27,   6709,   1139,   110,   98
19,   0,   4074,   4200,   4099,   4089,   3109,   21,   10,   27,   6723,   1139,   110,   98
19.1,   0,   4074,   4200,   4099,   4089,   3109,   21,   10,   27,   6710,   1139,   110,   98
19.2,   1,   4071,   4200,   4099,   4089,   3109,   20,   10,   27,   6703,   1139,   110,   98
19.3,   2,   4068,   4200,   4099,   4089,   3109,   20,   10,   27,   6701,   1136,   110,   98
19.4,   3,   4078,   4200,   4099,   4089,   3109,   20,   10,   27,   6706,   1139,   110,   98
19.5,   4,   4074,   4200,   4099,   4089,   3109,   20,   10,   28,   6719,   1139,   110,   98
19.6,   5,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6719,   1139,   110,   98
19.7,   5,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6718,   1139,   110,   98
19.8,   6,   4068,   4200,   4099,   4089,   3109,   20,   10,   28,   6726,   1139,   110,   98
19.9,   7,   4070,   4200,   4099,   4089,   3109,   21,   10,   27,   6726,   1139,   110,   98
20,   8,   4074,   4200,   4099,   4089,   3109,   20,   10,   28,   6758,   1139,   110,   98
20.1,   9,   4068,   4200,   4099,   4089,   3109,   21,   10,   28,   6774,   1139,   110,   98
20.2,   10,   4077,   4200,   4099,   4089,   3109,   20,   10,   27,   6759,   1139,   110,   98
20.3,   10,   4077,   4200,   4099,   4089,   3109,   20,   10,   27,   6770,   1139,   111,   98
20.4,   11,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   6758,   1139,   111,   98
20.5,   12,   4073,   4200,   4099,   4089,   3109,   21,   10,   28,   6777,   1139,   111,   98
20.6,   13,   4074,   4200,   4099,   4089,   3109,   21,   10,   28,   6769,   1139,   111,   98
20.7,   14,   4077,   4200,   4099,   4089,   3109,   20,   10,   28,   6748,   1139,   111,   98
20.8,   15,   4076,   4200,   4099,   4089,   3109,   21,   10,   28,   6748,   1139,   111,   98
20.9,   15,   4076,   4200,   4099,   4089,   3109,   21,   10,   28,   6772,   1139,   111,   98
21,   16,   4078,   4200,   4099,   4089,   3109,   21,   10,   28,   6747,   1139,   111,   98
